Name,Unlock requirement,Request ID,Byte,Mask,Prog,Item Requirements,objective,Reward,APID,Region Connect,Additional Info,Internal Name,Include
Make some armor!,Complete Get a Crafting Table!,33,145,2,,Crafting License,Use the Crafting Table to make armor.,Aquamarine,1C4213,Get a Crafting Table!,,Request: Craft Some Armor!,TRUE
Get a Chemistry Set!,Complete Make some armor!,,,,,Chemistry License,Get a chemistry license and speak to Jones or Nancy to purchase a Chemistry Set.,Medicine Bread,1C4214,Make some armor!,,,TRUE
Make some medicine!,Complete Get a Chemistry Set!,35,145,4,,Chemistry License,Use the chemistry set to make medicine.,4 Toyherb,1C4215,Get a Chemistry Set!,,Request: Make Some Medicine!,TRUE
Raise a skill level!,Complete Make some medicine!,,,,,,Raise at least one skill to level 20.,3 + 000G,1C4216,Make some medicine!,,,TRUE
Raise a weapon skill level!,Comeplete Raise a skill level!,,,,,,Raise at least one weapon skill to level 15.,Rush Attack,1C4217,Raise a skill level!,,,TRUE
Upgrade a weapon!,Complete Raise a weapon skill level!,38,145,8,,Forging License,Use the forge to upgrade a weapon.,4 Bronze,1C4218,Raise a weapon skill level!,,Request: Upgrade Weapons!,TRUE
Raise a magic skill level!,Complete Upgrade a weapon!,,,,,Magic Shop,Raise at least one magic skill to level 15.,Water Laser,1C4219,Upgrade a weapon!,,,TRUE
Upgrade your armor!,Complete Raise a magic skill level!,40,145,10,,Crafting License,Use the crafting table to upgrade your armor.,4 Silver,1C421A,Raise a magic skill level!,,Request: Upgrade Armor!,TRUE
Use a nutrient!,Complete Upgrade your armor!,41,146,4,,,Spread nutrient medicine over your field.,Greenifier,1C421B,Upgrade your armor!,,Request: Use Nutrients!,TRUE
Raise shipment rates!,Complete Use a nutrient!,,,,,Ship% 10,Ship at least 10% of the different items in the game.,A backpack upgrade order will be made available.,1C421C,Use a nutrient!,,Request: Raise Shipment Rate!,TRUE
Get a Shop License!,Complete Raise shipment rates!,,,,,,Use the order symbol to get a shop license.,5 + 000G,1C421D,Raise shipment rates!,,,TRUE
Prepare for a typhoon!,Complete Get a Shop License!,44,146,8,,,Spread Wettable Powder over your field.,Wettable Powder,1C421E,Get a Shop License!,,Request: Typhoon Preparation!,TRUE
Befriend 5 monsters!,Complete Prepare for a typhoon!,,,,,Progressive Barn,Tame at least 5 monsters.,50 Lumber and 50 Material Stone,1C421F,Prepare for a typhoon!,Note = You will need to either expand your barn or build a second barn in order to complete this request.,,TRUE
Upgrade a Staff!,Complete Befriend 5 monsters!,46,145,20,,Forging License,Use the forge to upgrade a staff.,Ambrosia's Thorns,1C4220,Befriend 5 monsters!,,Request: Upgrade Staff!,TRUE
Raise friendship levels! (5),Complete Upgrade a staff! and Harvest 6 veggies!,,162,1,,Gold Potato Seeds,Raise everyone's FP/LP to 5.,Vital Gummi,1C4221,Upgrade a Staff!,Note = This does not include Raven or Barrett.,,TRUE
Ship a level 10 flower!,Complete Harvest Autumn Grass!,98,162,4,,Gold Turnip Seeds,Raise a crop to level 10 and place it in the shipment box.,Greenifier,1C4222,Harvest Autumn Grass!,,Request: Ship a Lv 10 Flower!,TRUE
Raise total shipment fee!,Complete Gift for Margaret!,91,161,8,,Gold Turnip Seeds,Earn at least one million G.,Turnip Heaven recipe,1C4223,Gift for Margaret!,Note = This refers to all money earned since the start of the game. You do not need 1mil G on your person.,Request: Over a Million G!,TRUE
Harvest a large gold crop!,Complete Give a Turnip Heaven!,100,162,10,,Gold Turnip Seeds,Grow and harvest a large gold crop.,Ultimate Curry and Royal Curry recipes.,1C4224,Give a Turnip Heaven!,,Request: Large Golden Crop!,TRUE
Harvest all crops!,Complete Give a Turnip Heaven!,101,162,20,,Emery Flower Seeds,Harvest at least one of every crop in the game.,Union Stew recipe,1C4225,Give a Turnip Heaven!,Note = This does not include the large versions of every crop.,Request: Harvest All Crops!,TRUE
Ship a gold level 10 crop!,Complete Harvest a large gold Crop!,102,162,40,,Gold Turnip Seeds,Grow and harvest a level 10 gold crop.,Gold Juice recipe,1C4226,Harvest a large gold crop!,,Request: Gold Lv 10 crop!,TRUE
Raise a skill level to 50!,Complete: Raise friendship levels! (5) +  Harvest all crops! +  Ship a gold level 10 crop!,103,162,80,,Gold Turnip Seeds,Raise at least one skill level to 50.,Small Crystal,1C4227,Harvest all crops!,,Request: Raise Skill Lv to 50,TRUE
Befriend 50 monsters!,Complete Raise friendship levels! (5) +  Harvest all crops! +  Ship a gold level 10 crop!,104,163,1,,Fenrir,Tame at least 50 monsters.,Fried Udon recipe,1C4228,Harvest all crops!,Note = You must have all 50 monsters tamed and living in your barns at the same time. Releasing any will lower the counter.,Request: 50 Monster Friends!,TRUE
Raise friendship levels! (10),Complete: Raise friendship levels! (5) +  Harvest all crops! +  Ship a gold level 10 crop!,105,163,2,,Fenrir,Get everyone in town to 10 FP or LP.,Love Potion recipe,1C4229,Harvest all crops!,Note = This does not include Raven or Barrett.,Request: Raise Friendship Lv!,TRUE
Get a 50% shipment rate!,Complete Gift for Margaret!,106,163,4,,Fenrir + Ship% 50,Ship at least half of the different items in the game.,Courage Badge recipe,1C422A,Get a 25% shipment rate!,,Request: Raise Shipment Rate!,TRUE
Raise a skill level to 80!,Complete Befriend 50 Monsters!,107,163,8,,Fenrir,Raise at least on skill to level 80.,Heart Drink recipe +  Intelligencer recipe +  Protein recipe +  and Vital Gummi recipe,1C422B,Befriend 50 monsters!,,Request: Raise Skill Lv to 80,TRUE
Complete the Sharance Maze!,Complete Befriend 50 Monsters!,108,147,2,,Fenrir,Clear the Sharance Maze.,Leveliser recipe,1C422C,Befriend 50 monsters!,,Request: Clear Sharance Maze!,TRUE
Give Dolce a Moondrop!,Have Dolce in town and complete Give Amber Toyherb!,62,15d,40,,Moondrop Seeds,Give a Moondrop to Dolce.,Heart Pendant,1C422D,Give Amber a Toyherb!,,Request: Give Dolce Moondrop!,TRUE
Build a Monster Barn!,Have the ability to order monster barn construction.,51,15c,8,,,Go to the order symbol and have a monster barn built.,Brush,1C422E,,,Request: Build a Monster Barn!,TRUE
Befriend monsters!,Complete Build a Monster Barn!,52,15c,10,,,Tame at least one monster.,Fodder Box and 6 Fodder,1C422F,Build a Monster Barn!,Note = You will be given a Fodder Box to complete this request.,Request: Befriend a Monster!,TRUE
Ride on a monster friend!,Have at least five monsters.,53,144,1,,,Take a rideable monster out and get on top of it.,Iron Waltz,1C4230,Have at least five monsters.,,Request: Ride on Monsters!,TRUE
Befriend an item monster!,Complete Befriend monsters!,54,144,2,,,Tame a monster that will drop produce an item each day.,Clippers,1C4231,Befriend monsters!,Note = Monsters available early on that meet this criteria include Wooly and Buffamoo.,Request: Monsters with Items!,TRUE
Give a monster a task!,Complete Befriend monsters!,55,15c,80,,,Tame a monster that does not produce items +  and speak to it in your barn to assign field work.,Striking March,1C4232,Befriend monsters!,,Request: Tasks for Monsters!,TRUE
Befriend a boss monster!,Complete Harvest 12 veggies!,99,146,20,,,Tame a boss monster.,Rune Crystal,1C4233,Harvest 12 veggies!,Note = Unlike normal monsters +  bosses can only be tamed using specific items. ,Request: Boss Monster Friend!,TRUE
Prepare for Marriage!,Complete a marriage sub-event.,111,163,80,,,???,Engagement Ring recipe,1C4234,Sechs Territory,,Request: Prepare for Marriage,TRUE
From Eliza!,Complete every other request.,112,164,1,,Fenrir,Speak to Eliza.,,1C4235,Complete the Sharance Maze!,Note = Upon completing this request +  any item stored in the storage bin will be inside at the start of a new game.}},Request: Praise from Eliza!,TRUE
Make a shipment!,Complete Make Lumber!,18,144,4,,,Ship an item,Potato and Spinach Seeds available at the General Store.,1C4236,Make Lumber!,,Request: Try Shipping!,TRUE
Harvest Potato!,Complete Try fishing!,72,15f,1,,Potato Seeds,Grow and harvest a Potato.,Radish Seeds available at the General Store.,1C4237,Try Fishing!,,Request: Harvest Potato!,TRUE
Harvest 20 Turnip!,Complete Harvest Potato!,73,15f,2,,Turnip Seeds,Harvest 20 or more Turnip.,Pink Turnip Seeds available at the General Store.,1C4238,Harvest Potato!,,Request: Harvest 20 Turnips!,TRUE
Harvest 5 Radishes!,Complete Harvest Potato!,74,15f,4,,Radish Seeds,Harvest at least 5 Radishes.,Yam Seeds available at the General Store.,1C4239,Harvest Potato!,,Request: Harvest 5 Radishes!,TRUE
Ship a level 2 Turnip!,Complete Harvest Potato!,75,15f,8,,Turnip Seeds,Plant level 2 or higher Turnip Seed or level up a growing Turnip and place it in your shipping bin.,The General Store and Carnation Flower Store will start selling higher level seeds as you level up their respective crops.,1C423A,Harvest Potato!,Note = You can use the sickle to get higher level seeds from a crop +  or sprinkle greenifier on a crop that is still growing to level it up.,Request: Ship a Lv 2 Turnip,TRUE
Harvest 6 veggies!,Complete Harvest 20 Turnip! Harvest 5 Radishes! and Ship a level 2 Turnip!,76,15f,10,,Turnip Seeds + Potato Seeds + Spinach Seeds + Radish Seeds + Yam Seeds + Pink Turnip Seeds,Grow and harvest at least 6 different types of vegetables.,Carrot +  Corn +  and Strawberry Seeds available at the General Store.,1C423B,Harvest 5 Radishes!,,Request: Harvest 6 Vegetables,TRUE
Ship a level 5 veggie!,Complete Harvest 6 veggies!,77,15f,20,,Quality Sickle + Carrot Seeds,Plant level 5 or higher seed or level up a growing crop and place it in your shipping bin.,Pumpkin and Cucumber Seeds available at the General Store.,1C423C,Harvest 5 Radishes!,The silver and license are to enable scything a seed to level 5. This can be done with greenifier and time as well +  but is more expensive and time consuming +  so I'm setting this for logic purposes,Request: Ship a Lv 5 Veggie,TRUE
Till Corn,Complete Harvest 6 veggies!,78,15f,40,,Corn Seeds,Use your hoe on a piece of corn on your field.,Green Pepper Seeds available at the General.,1C423D,Harvest 6 veggies!,,Request: Till Corn with a Hoe,TRUE
Give Dylas a Carrot!,Have Dylas in town and complete Ship a level 5 veggie!,79,15f,80,,Carrot Seeds,Give a Carrot to Dylas.,Leek Seeds available at the General Store.,1C423E,Ship a level 5 veggie!,Note = Dylas is such a horse.,Request: Give Dylas a Carrot,TRUE
Harvest 12 veggies!,Complete ship a level 5 veggie!,80,160,1,,Turnip Seeds + Potato Seeds + Spinach Seeds + Radish Seeds + Yam Seeds + Pink Turnip Seeds + Carrot Seeds + Corn Seeds + Strawberry Seeds + Pumpkin Seeds + Cucumber Seeds + Green Pepper Seeds + Leek Seeds,Grow and harvest at least 12 different types of vegetables.,Bok Choy +  Cabbage +  and Onion Seeds available at the General Store.,1C423F,Ship a level 5 veggie!,,Request: Harvest 12 Veggies!,TRUE
Ship a level 10 veggie!,Complete Harvest 12 veggies!,81,160,2,,Legendary Sickle + Bok Choy Seeds,Plant level 10 or seed or level up a growing crop and place it in your shipping bin.,Eggplant and Hot-Hot Fruit Seeds available at the General Store,1C4240,Harvest 12 veggies!,,Request: Ship a Lv 10 Veggie,TRUE
Harvest certain veggies!,Complete Harvest 12 veggies!,82,160,4,,Bok Choy Seeds,Harvest 20 Bok Choy +  Cabbage +  and Onion (each).,Tomato and Gold Melon Seeds available at the General Store.,1C4241,Harvest 12 veggies!,,Request: Harvest 20 Each!,TRUE
Cut down a Shining Tree!,Complete Harvest 12 veggies!,85,160,20,,Bok Choy Seeds,Grow and chop down a Shining Tree.,Shining Seeds available at the General Store.,1C4242,Harvest 12 veggies!,Note = Tree seeds can be found near the Obsidian Mansion prior to taking this request.,Request: Cut a Shining Tree!,TRUE
Harvest 20 Oranges!,Complete Harvest 12 veggies!,84,160,10,,Bok Choy Seeds + Orange Tree Seeds,Grow and orange tree and harvest at least 20 Oranges.,Orange Tree Seeds available at the General Store.,1C4243,Harvest 12 veggies!,Note = Tree seeds can be found near the Obsidian Mansion prior to taking this request. Trees produce multiple fruit each day +  so you only need to grow one.,Request: Harvest 20 Oranges!,TRUE
Harvest a large veggie!,Complete Harvest certain veggies!,83,160,8,,Tomato Seeds,grow and harvest a large vegetable.,Pineapple Seeds available in the general store.,1C4244,Harvest certain veggies!,Note = To grow large crops +  plant 4 of the crop in a 2X2 plot and sprinkle them with giantizer +  then wait for them to merge into one.,Request: Harvest a Large Veggie,TRUE
Harvest 50 Grapes!,Complete Cut down a Shining Tree!,87,160,80,,Grape Tree Seeds,Grow a grape tree and harvest at least 50 Grapes.,Grape Tree Seeds available at the General Store.,1C4245,Cut down a Shining Tree!,Note = Tree seeds can be found near the Obsidian Mansion prior to taking this request. Trees produce multiple fruit each day +  so you only need to grow one.,Request: Harvest 50 Grapes!,TRUE
Harvest 50 Apples!,Complete Cut down a Shining Tree!,88,161,1,,Apple Tree Seeds,Grow a apple tree and harvest at least 50 Apples.,Apple Tree Seeds available at the General Store.,1C4246,Cut down a Shining Tree!,Note = Tree seeds can be found near the Obsidian Mansion prior to taking this request. Trees produce multiple fruit each day +  so you only need to grow one.,Request: Harvest 50 Apples!,TRUE
Harvest non-golden veggies!,Complete Harvest a large veggie!,86,160,40,,Turnip Seeds + Potato Seeds + Spinach Seeds + Radish Seeds + Yam Seeds + Pink Turnip Seeds + Carrot Seeds + Corn Seeds + Strawberry Seeds + Pumpkin Seeds + Cucumber Seeds + Green Pepper Seeds + Leek Seeds + Bok Choy Seeds + Cabbage Seeds + Onion Seeds + Eggplant Seeds + Hot-Hot Seeds + Tomato Seeds + Gold Melon Seeds,Harvest at least one of all vegetables except for gold crops.,Gold Potato Seeds available at the General Store.,1C4247,Harvest a large veggie!,Note = This does not include large crops.,Request: Harvest All Veggies!,TRUE
Gift for Margaret!,Complete Harvest non-golden veggies!,89,161,2,,Pineapple Seeds + EZ Cooking License,Give Margaret a glass of Pineapple Juice.,Gold Pumpkin Seeds available at the General Store.,1C4248,Harvest non-golden veggies!,,Request: Gift for Margaret!,TRUE
Get a 25% shipment rate!,Complete Gift for Margaret!,90,161,4,,Ship% 25,Ship at least 1/4 of all the different types of items in the game.,Gold Cabbage Seeds available at the General Store.,1C4249,Gift for Margaret!,,Request: Raise Shipment Rate!,TRUE
Give a Turnip Heaven!,Complete Raise total shipment fee!,92,161,10,,Gold Cabbage Seeds,Give a Turnip Heaven to Arthur.,Gold Turnip Seeds available at the General Store.,1C424A,Raise total shipment fee!,Note = You will be provided with Gold Turnip Seeds to complete this request.,Request: Gift for Arthur!,TRUE
Harvest a Sword Flower!,Have Dolce in town and complete Harvest 6 veggies!,93,161,20,,Raccoon Leaf,Grow and harvest a Sword Flower.,Sword Seeds available at the General Store.,1C424B,Harvest 6 veggies!,Note = Prior to taking this request +  Sword Seeds can be found in field dungeons.,Request: Harvest Sword Flower,TRUE
Harvest a Shield Flower!,Have Dolce in town and complete Harvest 6 veggies!,94,161,40,,Raccoon Leaf,Grow and harvest a Shield Flower.,Shield Seeds available at the General Store.,1C424C,Harvest 6 veggies!,Note = Prior to taking this request +  Shield Seeds can be found in field dungeons.,Request: Harvest Shield Flower,TRUE
Complete a field dungeon!,Have Leon in town +  complete Harvest 6 veggies! and raise level at least to 70.,95,147,1,,Raccoon Leaf,Grow and dungeon flower and defeat the boss within.,Dungeon Seeds available at the General Store.,1C424D,Harvest 6 veggies!,Note = Prior to taking this request +  Dungeon Seeds can be found in Sercerezo Hill.,Request: Field Dungeons!,TRUE
Harvest Toyherb!,Complete Make Material Stone!,56,15d,1,,Toyherb Seeds,Grow and harvest a Toyherb.,Pink Cat and Moondrop seeds available at the Carnation Flower Store.,1C424E,Make Material Stone!,,Request: Harvest Toyherb!,TRUE
Harvest 3 flowers!,Complete Harvest Toyherb!,57,15d,2,,Moondrop Seeds,Grow and harvest 3 different types of flowers.,Charm Blue seeds available at the Carnation Flower Store.,1C424F,Harvest Toyherb!,,Request: Harvest 3 Flowers!,TRUE
Give Amber a Toyherb!,Have Amber in town and complete Harvest 3 flowers!,58,15d,4,,Moondrop Seeds,Give a Toyherb to Amber.,Pom-Pom Grass Seeds available at the Carnation Flower Store.,1C4250,Harvest 3 flowers!,,Request: Give Amber Toyherb!,TRUE
Harvest 9 Charm Blues!,Complete Harvest 3 flowers!,59,15d,8,,Charm Blue Seeds,Grow and Harvest at least 9 Charm Blues.,Cherry Grass Seeds available at the Carnation Flower Store.,1C4251,Harvest 3 flowers!,,Request: Harvest 9 Charm Blues,TRUE
Harvest Cherry Grass!,Complete Harvest 9 Charm Blues!,60,15d,10,,Cherry Grass Seeds,Grow and harvest Cherry Grass.,Lamp Grass Seeds available at the Carnation Flower Store.,1C4252,Harvest 9 Charm Blues!,,Request: Harvest Cherry Grass,TRUE
Harvest 5 flowers!,Complete Harvest 9 Charm Blues!,61,15d,20,,Lamp Grass Seeds,Harvest at least 5 different types of flowers.,Clover Seeds available at the Carnation Flower Store.,1C4253,Harvest 9 Charm Blues!,,Request: Harvest 5 flowers!,TRUE
Till a 4-Leaf Clover!,Complete Harvest 5 flowers!,63,15d,80,,Clover Seeds,Use the hoe on a 4-Leaf Clover.,Ironleaf Seeds for sale at the Carnation Flower Store.,1C4254,Harvest 5 flowers!,,Request: Till a 4-Leaf Clover,TRUE
Fight using an Ironleaf!,Complete Till a 4-Leaf Clover!,64,15e,1,,Ironleaf Seeds,Throw an Ironleaf at a monster.,Autumn Grass Seeds available at the Carnation Flower Store.,1C4255,Till a 4-Leaf Clover!,,Request: Fight with Iron Leaf,TRUE
Harvest a large flower!,Complete Fight using an Ironleaf!,65,15e,2,,Autumn Grass Seeds,Grow and harvest a large flower.,Fireflower Seeds available at the Carnation Flower Store.,1C4256,Fight using an Ironleaf!,,Request: Harvest Large Flower,TRUE
Harvest Autumn Grass!,Complete Fight using an Ironleaf!,66,15e,4,,Autumn Grass Seeds,RF4Autumn Grass Grow and harvest Autumn Grass.,Noel Grass Seeds available at the Carnation Flower Store.,1C4257,Fight using an Ironleaf!,,Request: Harvest Autumn Grass,TRUE
Harvest Blue Crystal!,Complete Harvest a large flower!,67,15e,8,,Fireflower Seeds + Blue Crystal Seeds,Grow and harvest a Blue Crystal.,Blue Crystal Seeds available at the Carnation Flower Store.,1C4258,Harvest a large flower!,Note = Blue Crystal Seeds can be found prior to taking this request in Sercezero Hill during spring.,Request: Harvest Blue Crystal,TRUE
Harvest Green Crystal!,Complete Harvest Blue Crystal!,68,15e,10,,Fireflower Seeds + Blue Crystal Seeds,Grow and harvest a Green Crystal.,Green Crystal Seeds available at the Carnation Flower Store.,1C4259,Harvest Blue Crystal!,Note = Green Crystal Seeds can be found prior to taking this request in Sercezero Hill during summer.,Request: Harvest Green Crystal,TRUE
Harvest Red Crystal!,Complete Harvest Green Crystal!,69,15e,20,,Fireflower Seeds + Blue Crystal Seeds,Grow and harvest a Red Crystal.,Red Crystal Seeds available at the Carnation Flower Store.,1C425A,Harvest Green Crystal!,Note = Red Crystal Seeds can be found prior to taking this request in Sercezero Hill during fall.,Request: Harvest Red Crystal,TRUE
Harvest White Crystal!,Complete Harvest Red Crystal!,70,15e,40,,Fireflower Seeds + Blue Crystal Seeds,Grow and harvest a White Crystal.,White Crystal Seeds available at the Carnation Flower Store.,1C425B,Harvest Red Crystal!,Note = White Crystal Seeds can be found prior to taking this request in Sercezero Hill during winter.,Request: Harvest White Crystal,TRUE
Harvest almost all crops!,Complete Harvest White Crystal!,71,15e,80,,Gold Turnip Seeds + White Crystal Seeds,Grow and harvest at least one of everything except for Emery Flowers.,Emery Flower Seeds available at the Carnation Flower Store.,1C425C,Harvest White Crystal!,Note = This does not include the large versions of every crop.,Request: Harvest Most Crops!,TRUE
